T	1.81052  0.0205242  0.0194758	0.164466  0.114466  0.0855343	0.185451  0.18053  0.022391
Oz	1.81052  0.0205242  0.0194758	0.164466  0.114466  0.0855343	-0.380428  0.229808  0.229813
B	1.81034  0.0203382  0.0196618	0.354344  0.104344  0.0956557	0.517524  0.0184407  0.0184407
Ox	1.81034  0.0203382  0.0196618	0.354344  0.104344  0.0956557	-0.161828  0.21704  0.216843
R	1.81034  0.0203382  0.0196618	0.354344  0.104344  0.0956557	0.214532  0.0913218  0.0913218
T	1.81034  0.0203382  0.0196618	0.354344  0.104344  0.0956557	0.191477  0.184124  0.0267169
Oz	1.81034  0.0203382  0.0196618	0.354344  0.104344  0.0956557	-0.163254  0.210858  0.210858
B	1.81072  0.0207223  0.0192777	0.588602  0.138602  0.261398	0.358557  0.0184219  0.0184843
Ox	1.81072  0.0207223  0.0192777	0.588602  0.138602  0.261398	0.144851  0.214225  0.214436
R	1.81072  0.0207223  0.0192777	0.588602  0.138602  0.261398	0.310649  0.0873221  0.0873221
T	1.81072  0.0207223  0.0192777	0.588602  0.138602  0.261398	0.184461  0.1404  0.0198336
Oz	1.81072  0.0207223  0.0192777	0.588602  0.138602  0.261398	-0.223538  0.228603  0.228317
B	1.85221  0.0222113  0.0177887	-0.241063  0.108937  0.091063	0.671594  0.0244048  0.0244048
Ox	1.85221  0.0222113  0.0177887	-0.241063  0.108937  0.091063	-0.130318  0.313575  0.313575
R	1.85221  0.0222113  0.0177887	-0.241063  0.108937  0.091063	0.222417  0.077984  0.077984
T	1.85221  0.0222113  0.0177887	-0.241063  0.108937  0.091063	0.189917  0.115899  0.115899
Oz	1.85221  0.0222113  0.0177887	-0.241063  0.108937  0.091063	0.651492  0.301504  0.301504
B	1.85254  0.0225411  0.0174589	-0.0464084  0.103592  0.0964084	0.615079  0.0215419  0.0217816
Ox	1.85254  0.0225411  0.0174589	-0.0464084  0.103592  0.0964084	-0.183707  0.243991  0.243891
R	1.85254  0.0225411  0.0174589	-0.0464084  0.103592  0.0964084	0.228702  0.0703619  0.0703619
T	1.85254  0.0225411  0.0174589	-0.0464084  0.103592  0.0964084	0.598018  0.226076  0.226076
Oz	1.85254  0.0225411  0.0174589	-0.0464084  0.103592  0.0964084	-0.430968  0.232674  0.232318
B	1.85257  0.0225692  0.0174308	0.161007  0.111007  0.0889931	0.570634  0.0197362  0.0198042
Ox	1.85257  0.0225692  0.0174308	0.161007  0.111007  0.0889931	-0.235231  0.230976  0.231057
R	1.85257  0.0225692  0.0174308	0.161007  0.111007  0.0889931	0.325448  0.0616818  0.0616818
T	1.85257  0.0225692  0.0174308	0.161007  0.111007  0.0889931	-0.181971  0.0183977  0.125697
Oz	1.85257  0.0225692  0.0174308	0.161007  0.111007  0.0889931	0.204638  0.21424  0.214105
B	1.85267  0.0226656  0.0173344	0.352254  0.102254  0.0977457	0.502072  0.0170424  0.0171709
Ox	1.85267  0.0226656  0.0173344	0.352254  0.102254  0.0977457	0.0927262  0.207078  0.207082
R	1.85267  0.0226656  0.0173344	0.352254  0.102254  0.0977457	0.4118  0.0584687  0.0584687
T	1.85267  0.0226656  0.0173344	0.352254  0.102254  0.0977457	0.214254  0.176694  0.0482526
Oz	1.85267  0.0226656  0.0173344	0.352254  0.102254  0.0977457	-0.224595  0.197432  0.197411
B	1.85266  0.0226616  0.0173384	0.542376  0.0923756  0.107624	0.435907  0.0200532  0.0201786
Ox	1.85266  0.0226616  0.0173384	0.542376  0.0923756  0.107624	-0.226339  0.255673  0.255549
R	1.85266  0.0226616  0.0173384	0.542376  0.0923756  0.107624	0.439799  0.0579127  0.0579127
T	1.85266  0.0226616  0.0173384	0.542376  0.0923756  0.107624	-0.180874  0.0177306  0.114159
Oz	1.85266  0.0226616  0.0173384	0.542376  0.0923756  0.107624	-0.243198  0.247051  0.247109
B	1.85325  0.0232547  0.0167453	0.733773  0.0837735  0.116227	0.277651  0.029265  0.0294664
Ox	1.85325  0.0232547  0.0167453	0.733773  0.0837735  0.116227	0.220411  0.328944  0.328763
R	1.85325  0.0232547  0.0167453	0.733773  0.0837735  0.116227	0.485378  0.0765483  0.0765483
T	1.85325  0.0232547  0.0167453	0.733773  0.0837735  0.116227	-0.180781  0.0496455  0.0496455
Oz	1.85325  0.0232547  0.0167453	0.733773  0.0837735  0.116227	-0.179399  0.347367  0.346671
B	1.89047  0.0204675  0.0195325	-0.465452  0.284548  0.115452	0.461891  0.0234115  0.0236097
Ox	1.89047  0.0204675  0.0195325	-0.465452  0.284548  0.115452	0.21228  0.265867  0.26595
R	1.89047  0.0204675  0.0195325	-0.465452  0.284548  0.115452	-0.069006  0.119041  0.119041
T	1.89047  0.0204675  0.0195325	-0.465452  0.284548  0.115452	0.330341  0.244369  0.244369
Oz	1.89047  0.0204675  0.0195325	-0.465452  0.284548  0.115452	-0.208148  0.26887  0.268524
B	1.89037  0.0203692  0.0196308	-0.241523  0.108477  0.0915231	0.587239  0.0135557  0.0135557
Ox	1.89037  0.0203692  0.0196308	-0.241523  0.108477  0.0915231	0.660431  0.0214364  0.0214364
R	1.89037  0.0203692  0.0196308	-0.241523  0.108477  0.0915231	0.103594  0.0628903  0.0628903
T	1.89037  0.0203692  0.0196308	-0.241523  0.108477  0.0915231	-0.181059  0.0267548  0.0267548
Oz	1.89037  0.0203692  0.0196308	-0.241523  0.108477  0.0915231	-0.427093  0.0417132  0.0417132
B	1.8905  0.0204987  0.0195013	-0.0461585  0.103841  0.0961585	0.569396  0.0145765  0.0145765
Ox	1.8905  0.0204987  0.0195013	-0.0461585  0.103841  0.0961585	-0.0502156  0.162604  0.162604
R	1.8905  0.0204987  0.0195013	-0.0461585  0.103841  0.0961585	0.202718  0.057028  0.057028
T	1.8905  0.0204987  0.0195013	-0.0461585  0.103841  0.0961585	-0.184573  0.0181165  0.109978
Oz	1.8905  0.0204987  0.0195013	-0.0461585  0.103841  0.0961585	-0.403729  0.154889  0.154819
B	1.89043  0.0204284  0.0195716	0.161859  0.111859  0.0881413	0.555498  0.0129107  0.0129107
Ox	1.89043  0.0204284  0.0195716	0.161859  0.111859  0.0881413	-0.301259  0.148441  0.148441
R	1.89043  0.0204284  0.0195716	0.161859  0.111859  0.0881413	0.29756  0.0537845  0.0537845
T	1.89043  0.0204284  0.0195716	0.161859  0.111859  0.0881413	0.201642  0.118451  0.118451
Oz	1.89043  0.0204284  0.0195716	0.161859  0.111859  0.0881413	-0.0771752  0.14269  0.14269
B	1.89011  0.0201087  0.0198913	0.350361  0.100361  0.0996394	0.488579  0.0114415  0.0114937
Ox	1.89011  0.0201087  0.0198913	0.350361  0.100361  0.0996394	-0.0375583  0.141961  0.141839
R	1.89011  0.0201087  0.0198913	0.350361  0.100361  0.0996394	0.452013  0.0493342  0.0493342
T	1.89011  0.0201087  0.0198913	0.350361  0.100361  0.0996394	-0.179393  0.012079  0.0416319
Oz	1.89011  0.0201087  0.0198913	0.350361  0.100361  0.0996394	-0.0775296  0.13551  0.135302
B	1.89051  0.0205089  0.0194911	0.548756  0.098756  0.101244	0.372517  0.0136562  0.0136562
Ox	1.89051  0.0205089  0.0194911	0.548756  0.098756  0.101244	-0.203271  0.170756  0.170756
R	1.89051  0.0205089  0.0194911	0.548756  0.098756  0.101244	0.592239  0.0483047  0.0483047
T	1.89051  0.0205089  0.0194911	0.548756  0.098756  0.101244	0.182445  0.0304074  0.0304074
Oz	1.89051  0.0205089  0.0194911	0.548756  0.098756  0.101244	-0.300963  0.164341  0.164341
B	1.89038  0.0203833  0.0196167	0.732615  0.0826147  0.117385	0.269233  0.0191947  0.0191947
Ox	1.89038  0.0203833  0.0196167	0.732615  0.0826147  0.117385	-0.0956112  0.215135  0.215174
R	1.89038  0.0203833  0.0196167	0.732615  0.0826147  0.117385	0.708774  0.059555  0.059555
T	1.89038  0.0203833  0.0196167	0.732615  0.0826147  0.117385	0.185428  0.158791  0.0212174
Oz	1.89038  0.0203833  0.0196167	0.732615  0.0826147  0.117385	-0.293773  0.214036  0.214205
B	1.92781  0.0178092  0.0221908	-0.470218  0.279782  0.120218	0.421791  0.0295432  0.0299053
