Ox	1.78104  0.01104  0.00895998	0.540506  0.090506  0.109494	-0.905581  0.00743836  0.00743836
R	1.78104  0.01104  0.00895998	0.540506  0.090506  0.109494	-0.49364  0.0430685  0.0430685
T	1.78104  0.01104  0.00895998	0.540506  0.090506  0.109494	-0.96957  0.0040216  0.0040216
Oz	1.78104  0.01104  0.00895998	0.540506  0.090506  0.109494	-0.125641  0.032266  0.032266
B	1.78129  0.0112923  0.00870768	0.736208  0.0862082  0.113792	0.269853  0.0212253  0.0212973
Ox	1.78129  0.0112923  0.00870768	0.736208  0.0862082  0.113792	-0.945987  0.0104958  0.00691172
R	1.78129  0.0112923  0.00870768	0.736208  0.0862082  0.113792	-0.465983  0.0828518  0.0828518
T	1.78129  0.0112923  0.00870768	0.736208  0.0862082  0.113792	-0.968703  0.0140423  0.00395392
Oz	1.78129  0.0112923  0.00870768	0.736208  0.0862082  0.113792	-0.0430271  0.057265  0.0573062
B	1.80027  0.0102667  0.00973334	-0.475004  0.274996  0.125004	0.126833  0.029997  0.029997
Ox	1.80027  0.0102667  0.00973334	-0.475004  0.274996  0.125004	-0.464591  0.446379  0.446379
R	1.80027  0.0102667  0.00973334	-0.475004  0.274996  0.125004	0.127873  0.0815494  0.0815494
T	1.80027  0.0102667  0.00973334	-0.475004  0.274996  0.125004	-0.51286  0.0618909  0.0618909
B	1.80003  0.0100324  0.00996761	-0.12657  0.22343  0.17657	0.268363  0.0187646  0.0187646
Ox	1.80003  0.0100324  0.00996761	-0.12657  0.22343  0.17657	-0.927666  0.00900693  0.00900693
R	1.80003  0.0100324  0.00996761	-0.12657  0.22343  0.17657	-0.12332  0.0481363  0.0481363
T	1.80003  0.0100324  0.00996761	-0.12657  0.22343  0.17657	-0.964153  0.0233584  0.0233584
Oz	1.80003  0.0100324  0.00996761	-0.12657  0.22343  0.17657	-0.185721  0.0355555  0.0355555
B	1.79999  0.00999491  0.0100051	0.154922  0.104922  0.0950776	0.378489  0.0229192  0.0229192
Ox	1.79999  0.00999491  0.0100051	0.154922  0.104922  0.0950776	-0.899537  0.0120998  0.0120998
R	1.79999  0.00999491  0.0100051	0.154922  0.104922  0.0950776	-0.305952  0.0386002  0.0386002
T	1.79999  0.00999491  0.0100051	0.154922  0.104922  0.0950776	-0.967393  0.00887262  0.00887262
Oz	1.79999  0.00999491  0.0100051	0.154922  0.104922  0.0950776	-0.126961  0.0493048  0.0493048
B	1.8  0.0100017  0.00999828	0.351536  0.101536  0.0984637	0.347376  0.0204796  0.0204796
Ox	1.8  0.0100017  0.00999828	0.351536  0.101536  0.0984637	-0.896245  0.00774946  0.00774946
R	1.8  0.0100017  0.00999828	0.351536  0.101536  0.0984637	-0.446071  0.0461057  0.0461057
T	1.8  0.0100017  0.00999828	0.351536  0.101536  0.0984637	-0.968949  0.00502305  0.00502305
Oz	1.8  0.0100017  0.00999828	0.351536  0.101536  0.0984637	-0.215505  0.0256964  0.0256964
